model,MSE-train,MSE-test,tuning mode
xgboost,76916.30907605361,154565.12744674826,manual
GradientBoostingRegressor,153388.87614960066,158033.55130794892,automl
random_forest,119494.10674164815,158471.73600596807,manual
RandomForestRegressor,126541.93473545265,160594.45578715525,automl
mlp,160397.97299690233,162452.34918896816,manual
ExtraTreesRegressor,154936.84797873604,163057.08774903053,automl
AdaBoostRegressor,183111.35589322797,180134.90479187094,automl
knnreg,146596.398502,214580.681216,manual
elasticnet,218722.15838285603,218184.52120102005,manual
